Unnamed: 0,X1,X2,X3,X4,X5,X8,X9,X14,X15,X16,X17,X19,X20,X22,X23,X24,X28,X31,X32,X34,X35,X37,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58
PH,0.02378864,0.02388334,0.042955919999999995,0.0375345,0.0482885,0.0,0.0,0.04787552,0.02328624,0.0,0.0,0.0,0.0,0.02310532,0.03182112,0.047365120000000004,0.023200000000000002,0.0,0.02341184,0.02149192,0.0,0.023502270000000002,0.04215294,0.023325000000000002,0.0,0.0,0.0,0.0223226,0.0,0.0,0.02375668,0.04730944,0.0,0.04730944,0.04730944,0.0,0.02253951,0.0,0.0,0.02366348,0.0
WGV,0.061852750000000005,0.04957675,0.0,0.0,0.0485639,0.0432894,0.04471635,0.03963477,0.061613320000000006,0.0,0.03285632,0.0445437,0.0,0.07415694,0.0,0.038928260000000006,0.03051237,0.023858,0.0630499,0.0,0.04517675,0.05663775000000001,0.0,0.03235191,0.04655795,0.02445607,0.0343053,0.0,0.033234780000000005,0.0,0.0,0.0669928,0.02370032,0.0,0.0,0.02687484,0.0,0.0,0.0660969,0.0,0.0
PM,0.057273599999999994,0.057495899999999996,0.05797469999999999,0.0,0.057443549999999996,0.0,0.05934684,0.030817079999999997,0.05235008,0.05332435,0.026169829999999998,0.0595487,0.059820099999999994,0.057265399999999994,0.0,0.02589054,0.04939012,0.05587740000000001,0.05576640000000001,0.05563875000000001,0.06045707,0.06034925,0.049469940000000004,0.04859028,0.04905198,0.0489645,0.059363309999999996,0.05883500999999999,0.029531969999999998,0.042365999999999994,0.05863275,0.05689368,0.05621850000000001,0.056888100000000004,0.056888100000000004,0.05375772,0.054047880000000006,0.029585160000000003,0.0,0.05013456,0.02735832
Poultry M,0.01923334,0.06637246000000001,0.0,0.07602378,0.0,0.0,0.05597625,0.0,0.01908719,0.03201006,0.0,0.055545,0.0237958,0.0,0.08434272000000001,0.0,0.0,0.03552292,0.01935026,0.06238026,0.05865,0.054264,0.0,0.0,0.0567525,0.03434102,0.04603357,0.0,0.0,0.05730209000000001,0.0,0.0,0.03319284,0.0,0.0,0.02365412,0.0,0.08395184,0.11641315,0.0,0.08538580000000001
Wheat,0.00440226,0.0,0.00616827,0.006730320000000001,0.0081142,0.007218680000000001,0.0075710000000000005,0.0049268,0.00460056,0.00897608,0.009367,0.007772000000000001,0.011037400000000001,0.0041446799999999995,0.0075914500000000005,0.0057116,0.00618975,0.0077556000000000005,0.0045609000000000005,0.0063675500000000005,0.007973000000000001,0.00535143,0.00705194,0.00562275,0.007973000000000001,0.009954349999999999,0.00972036,0.00533696,0.01006136,0.0051125,0.0078975,0.012799360000000001,0.0093688,0.006748,0.006748,0.00708125,0.00618103,0.007224419999999999,0.0,0.00963942,0.008276519999999999
FM,0.01321952,0.0,0.0,0.0,0.02553588,0.0,0.03660873,0.07287265,0.0,0.0684754,0.0,0.0352593,0.09512640000000001,0.0197802,0.0,0.06906802000000001,0.04852933,0.0795372,0.0,0.0190627,0.03434517,0.0,0.01940814,0.04639818,0.03316986,0.0767715,0.03424275,0.048764880000000004,0.0,0.0,0.06194880000000001,0.06002895,0.07908875000000001,0.0600211,0.0600211,0.03945585,0.0577488,0.0573195,0.0218799,0.08888005,0.0564627
FM7,0.0,0.0,0.0,0.14030663999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1437636,0.0,0.1437495,0.1437495,0.0,0.10261238,0.0,0.10578642,0.03371452,0.0
FM16,0.05222448,0.0,0.1410948,0.0,0.14131435,0.31631534999999994,0.0,0.10531499999999999,0.05222448,0.035460809999999995,0.27848898,0.0,0.0354393,0.07007475,0.14016048,0.10471319999999999,0.038273039999999994,0.0,0.05245055999999999,0.05233224,0.0,0.0,0.14398054999999998,0.03887793,0.0,0.0,0.0,0.034131720000000004,0.27406845,0.142779,0.107072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGM12,0.0,0.06213592,0.0,0.0,0.0,0.0,0.0,0.0,0.1225856,0.0,0.0,0.0,0.0,0.12431,0.0,0.12596055,0.12337532,0.0,0.0,0.121503,0.0,0.12372100000000001,0.12341189999999999,0.12117576,0.09174840000000001,0.09158477999999999,0.092537,0.1222806,0.1043344,0.1194822,0.1254231,0.0563532,0.09400286,0.11166766,0.11166766,0.0,0.0,0.0,0.0,0.0,0.0
MGM17,0.12379136,0.06213592,0.1254176,0.12478420999999999,0.09697254,0.12521132,0.09326240000000001,0.1257564,0.0,0.062433499999999996,0.1102819,0.092354,0.029786299999999998,0.0,0.12163352,0.0,0.0,0.09212219999999999,0.1225856,0.0,0.093111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03025155,0.11875036,0.06552357,0.09389688,0.05422032,0.06584424
